IDs,Video,Resolution
NDARAG143ARJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAG143ARJ/NDARAG143ARJ_Video1_Samples_ET.mat,800600
NDARAG143ARJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAG143ARJ/NDARAG143ARJ_Video3_Samples_ET.mat,800600
NDARAG191AE8,/Volumes/methlab_data/HBN/EEG-ET/NDARAG191AE8/NDARAG191AE8_Video-DM_Samples_ET.mat,1440900
NDARAG191AE8,/Volumes/methlab_data/HBN/EEG-ET/NDARAG191AE8/NDARAG191AE8_Video-TP_Samples_ET.mat,1440900
NDARAG191AE8,/Volumes/methlab_data/HBN/EEG-ET/NDARAG191AE8/NDARAG191AE8_Video-WK_Samples_ET.mat,1440900
NDARAG340ERT,/Volumes/methlab_data/HBN/EEG-ET/NDARAG340ERT/NDARAG340ERT_Video1_Samples_ET.mat,800600
NDARAG340ERT,/Volumes/methlab_data/HBN/EEG-ET/NDARAG340ERT/NDARAG340ERT_Video3_Samples_ET.mat,800600
NDARAG584XLU,/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video1_Samples_ET.mat,800600
NDARAG584XLU,/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video2_Samples_ET.mat,800600
NDARAG584XLU,/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video3_Samples_ET.mat,800600
NDARAG584XLU,/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video4_Samples_ET.mat,800600
NDARAG610XL4,/Volumes/methlab_data/HBN/EEG-ET/NDARAG610XL4/NDARAG610XL4_Video-DM_Samples_ET.mat,1440900
NDARAG610XL4,/Volumes/methlab_data/HBN/EEG-ET/NDARAG610XL4/NDARAG610XL4_Video-WK_Samples_ET.mat,1440900
NDARAH239PGG,/Volumes/methlab_data/HBN/EEG-ET/NDARAH239PGG/NDARAH239PGG_Video-DM_Samples_ET.mat,1440900
NDARAH239PGG,/Volumes/methlab_data/HBN/EEG-ET/NDARAH239PGG/NDARAH239PGG_Video-TP_Samples_ET.mat,1440900
NDARAH239PGG,/Volumes/methlab_data/HBN/EEG-ET/NDARAH239PGG/NDARAH239PGG_Video-WK_Samples_ET.mat,1440900
NDARAH304ED7,/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video1_Samples_ET.mat,800600
NDARAH304ED7,/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video2_Samples_ET.mat,800600
NDARAH304ED7,/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video3_Samples_ET.mat,800600
NDARAH304ED7,/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video4_Samples_ET.mat,800600
NDARAH503YG1,/Volumes/methlab_data/HBN/EEG-ET/NDARAH503YG1/NDARAH503YG1_Video1_Samples_ET.mat,800600
NDARAH503YG1,/Volumes/methlab_data/HBN/EEG-ET/NDARAH503YG1/NDARAH503YG1_Video4_Samples_ET.mat,800600
NDARAH793FBF,/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video1_Samples_ET.mat,800600
NDARAH793FBF,/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video2_Samples_ET.mat,800600
NDARAH793FBF,/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video3_Samples_ET.mat,800600
NDARAH793FBF,/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video4_Samples_ET.mat,800600
NDARAH948UF0,/Volumes/methlab_data/HBN/EEG-ET/NDARAH948UF0/NDARAH948UF0_Video1_Samples_ET.mat,800600
NDARAH948UF0,/Volumes/methlab_data/HBN/EEG-ET/NDARAH948UF0/NDARAH948UF0_Video3_Samples_ET.mat,800600
NDARAH976BND,/Volumes/methlab_data/HBN/EEG-ET/NDARAH976BND/NDARAH976BND_Video-DM_Samples_ET.mat,1440900
NDARAH976BND,/Volumes/methlab_data/HBN/EEG-ET/NDARAH976BND/NDARAH976BND_Video-TP_Samples_ET.mat,1440900
