Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1060,00:00:44.167,0.26759620949074076,0.1636284722222222,0.2998318142361111,0.3393283420138889
1061,00:00:44.208,0.24463794849537038,0.16748046875,0.2552625868055556,0.3111707899305556
1062,00:00:44.250,0.24540653935185186,0.1298285590277778,0.2799750434027778,0.326416015625
1063,00:00:44.292,0.5804217303240741,0.3408203125,0.6712782118055556,0.7291666666666666
1064,00:00:44.333,0.747314453125,0.32666015625,0.9849989149305556,0.9302842881944444
1065,00:00:44.375,1.15234375,0.4922146267361111,1.5120985243055556,1.4527180989583333
1066,00:00:44.417,1.5107693142361114,0.6044650607638888,2.075222439236111,1.8526204427083333
1067,00:00:44.458,1.804515697337963,0.6453179253472222,2.4793836805555554,2.288845486111111
1068,00:00:44.500,1.6445674189814816,0.6119520399305556,2.255886501736111,2.0658637152777777
1069,00:00:44.542,1.5888762297453702,0.712158203125,1.97412109375,2.080349392361111
1070,00:00:44.583,0.9087818287037037,0.4519856770833333,1.1106228298611112,1.1637369791666667
1071,00:00:44.625,1.164279513888889,0.7626681857638888,1.2845323350694444,1.4456380208333333
1072,00:00:44.667,1.2847222222222223,0.8628200954861112,1.4185384114583333,1.5728081597222223
1073,00:00:44.708,1.0714156539351851,0.7027452256944444,1.2187771267361112,1.292724609375
1074,00:00:44.750,1.237865306712963,0.8022732204861112,1.4478624131944444,1.4634602864583333
1075,00:00:44.792,1.4130226417824072,1.0898166232638888,1.4548068576388888,1.6944444444444444
1076,00:00:44.833,1.2240306712962963,0.8739149305555556,1.3878851996527777,1.4102918836805556
1077,00:00:44.875,3.2012080439814814,2.6199544270833335,2.5870768229166665,4.396592881944445
1078,00:00:44.917,1.3665364583333333,0.8208821614583334,1.6060384114583333,1.6726888020833333
1079,00:00:44.958,1.6067346643518519,1.1319173177083333,1.7366536458333333,1.9516330295138888
1080,00:00:45.000,1.8607313368055554,1.4884982638888888,1.800048828125,2.2936469184027777
1081,00:00:45.042,1.6394133391203702,1.1690266927083333,1.75341796875,1.9957953559027777
1082,00:00:45.083,1.5183648003472223,1.0693901909722223,1.6566026475694444,1.8291015625
1083,00:00:45.125,1.5494972511574074,1.1009385850694444,1.6825086805555556,1.8650444878472223
1084,00:00:45.167,1.483733000578704,1.0193956163194444,1.6315104166666667,1.80029296875
1085,00:00:45.208,1.5814163773148149,1.1946885850694444,1.6097547743055556,1.9398057725694444
1086,00:00:45.250,1.3216869212962963,0.8524034288194444,1.5210232204861112,1.5916341145833333
1087,00:00:45.292,1.312472873263889,0.8670247395833334,1.4537489149305556,1.6166449652777777
1088,00:00:45.333,1.6918131510416667,1.1105685763888888,1.8321397569444444,2.1327311197916665
1089,00:00:45.375,1.350007233796296,0.6735568576388888,1.6861707899305556,1.6902940538194444
1090,00:00:45.417,1.2832664207175926,0.6272515190972222,1.5887044270833333,1.6338433159722223
1091,00:00:45.458,1.640426070601852,1.0184461805555556,1.8295084635416667,2.0733235677083335
1092,00:00:45.500,1.1855016637731481,0.5902235243055556,1.4578993055555556,1.5083821614583333
1093,00:00:45.542,0.7312373408564815,0.3649359809027778,0.846435546875,0.9823404947916666
1094,00:00:45.583,0.4498697916666667,0.23933919270833334,0.4876844618055556,0.6225857204861112
1095,00:00:45.625,0.4483326099537037,0.24476453993055555,0.4884711371527778,0.6117621527777778
1096,00:00:45.667,0.4129593460648149,0.2392849392361111,0.4602593315972222,0.5393337673611112
1097,00:00:45.708,0.7324490017361112,0.4498697916666667,0.7717556423611112,0.9757215711805556
1098,00:00:45.750,0.6788556134259259,0.4486762152777778,0.7306857638888888,0.8572048611111112
1099,00:00:45.792,0.7732837818287037,0.533203125,0.8052029079861112,0.9814453125
1100,00:00:45.833,0.9028410734953702,0.6856011284722222,0.8983289930555556,1.1245930989583333
1101,00:00:45.875,0.7668547453703703,0.5074055989583334,0.8344184027777778,0.958740234375
1102,00:00:45.917,0.7714482060185186,0.5693901909722222,0.8194173177083334,0.925537109375
1103,00:00:45.958,1.127956814236111,0.9907497829861112,1.0491536458333333,1.3439670138888888
1104,00:00:46.000,0.8665816695601851,0.7110460069444444,0.8835720486111112,1.005126953125
1105,00:00:46.042,0.947021484375,0.7709418402777778,0.9637586805555556,1.1063639322916667
1106,00:00:46.083,1.1063187210648147,0.8791232638888888,1.0895453559027777,1.3502875434027777
1107,00:00:46.125,0.6936396846064815,0.4530164930555556,0.7965766059027778,0.8313259548611112
1108,00:00:46.167,0.6524251302083334,0.4449869791666667,0.7282986111111112,0.7839898003472222
1109,00:00:46.208,0.9340187355324074,0.7510850694444444,0.9420844184027778,1.10888671875
1110,00:00:46.250,1.5331850405092595,1.3715006510416667,1.2790798611111112,1.948974609375
1111,00:00:46.292,1.143608940972222,0.6624348958333334,1.3436957465277777,1.4246961805555556
1112,00:00:46.333,1.2652271412037035,0.6724175347222222,1.5096028645833333,1.6136610243055556
1113,00:00:46.375,1.049262152777778,0.5063747829861112,1.326416015625,1.3149956597222223
1114,00:00:46.417,0.7280002170138888,0.4278428819444444,0.8607855902777778,0.8953721788194444
1115,00:00:46.458,1.0194046585648149,0.7583550347222222,1.0653211805555556,1.2345377604166667
1116,00:00:46.500,0.7527759693287036,0.5187717013888888,0.8445909288194444,0.8949652777777778
1117,00:00:46.542,0.7193015769675926,0.4413519965277778,0.8280164930555556,0.8885362413194444
1118,00:00:46.583,0.7107295283564815,0.5112575954861112,0.7467176649305556,0.8742133246527778
1119,00:00:46.625,0.4794921875,0.2431640625,0.6063639322916666,0.5889485677083334
1120,00:00:46.667,50.86472800925926,25.37575954861111,72.42119683159723,54.79722764756944
1121,00:00:46.708,0.41218171296296297,0.23546006944444445,0.45458984375,0.5464952256944444
1122,00:00:46.750,0.5269730179398149,0.3022189670138889,0.5864800347222222,0.6922200520833334
1123,00:00:46.792,0.42473234953703703,0.2506239149305556,0.4920518663194444,0.5315212673611112
1124,00:00:46.833,0.46435546875,0.2791069878472222,0.5364583333333334,0.5775010850694444
1125,00:00:46.875,0.6528410734953703,0.4061686197916667,0.7307400173611112,0.8216145833333334
1126,00:00:46.917,0.5229944299768519,0.2569444444444444,0.6374782986111112,0.674560546875
1127,00:00:46.958,0.49441189236111116,0.2658148871527778,0.5835774739583334,0.6338433159722222
1128,00:00:47.000,0.5577528211805555,0.2875434027777778,0.6575249565972222,0.7281901041666666
1129,00:00:47.042,0.3711932146990741,0.2106662326388889,0.4442003038194444,0.4587131076388889
1130,00:00:47.083,0.4820601851851852,0.3717176649305556,0.5292426215277778,0.5452202690972222
1131,00:00:47.125,0.5905942563657408,0.3899197048611111,0.6820475260416666,0.6998155381944444
1132,00:00:47.167,0.4718153211805555,0.27978515625,0.6009385850694444,0.5347222222222222
1133,00:00:47.208,0.4708478009259259,0.31005859375,0.5663791232638888,0.5361056857638888
1134,00:00:47.250,0.4297869646990741,0.22794596354166666,0.5647243923611112,0.4966905381944444
1135,00:00:47.292,0.48952003761574076,0.3457302517361111,0.5510796440972222,0.5717502170138888
1136,00:00:47.333,0.4143337673611111,0.2658148871527778,0.4581705729166667,0.5190158420138888
1137,00:00:47.375,0.3350875289351852,0.18929036458333334,0.398681640625,0.4172905815972222
1138,00:00:47.417,0.4250578703703704,0.2407769097222222,0.5168999565972222,0.5174967447916666
1139,00:00:47.458,0.5344961660879629,0.27099609375,0.6705186631944444,0.6619737413194444
1140,00:00:47.500,1.0769856770833333,0.8694390190972222,1.0062662760416667,1.3552517361111112
1141,00:00:47.542,0.5256709346064815,0.3307291666666667,0.62353515625,0.6227484809027778
1142,00:00:47.583,0.5361328125,0.3251953125,0.6370171440972222,0.6461859809027778
1143,00:00:47.625,0.4596263744212963,0.2591145833333333,0.564697265625,0.5550672743055556
1144,00:00:47.667,0.45066550925925924,0.2574869791666667,0.5398763020833334,0.5546332465277778
1145,00:00:47.708,0.4304289641203704,0.2392306857638889,0.5184733072916666,0.5335828993055556
1146,00:00:47.750,0.40974030671296297,0.2517632378472222,0.4807400173611111,0.4967176649305556
1147,00:00:47.792,0.36470088252314814,0.2277560763888889,0.4272732204861111,0.4390733506944444
1148,00:00:47.833,0.3776041666666667,0.24853515625,0.4474555121527778,0.4368218315972222
1149,00:00:47.875,0.44627097800925924,0.2767198350694444,0.5160861545138888,0.5460069444444444
